epoch,train_batch_count,dur,train_loss,train_loss_best,train_accuracy,train_accuracy_best
1,9,6.782666206359863,1.2519815497928195,True,0.2534722222222222,True
2,9,5.431957721710205,0.8571346137258742,True,0.4548611111111111,True
3,9,5.023080587387085,0.735812611050076,True,0.5347222222222222,True
4,9,4.952531814575195,0.5865802400641971,True,0.2986111111111111,False
5,9,4.885507106781006,0.4897992279794481,True,0.5625,True
6,9,5.108685255050659,0.4106587866942088,True,0.5416666666666666,False
7,9,4.964637279510498,0.35517549680338967,True,0.6006944444444444,True
8,9,5.734320640563965,0.2633187572161357,True,0.5868055555555556,False
9,9,5.4770188331604,0.2487215515640047,True,0.8090277777777778,True
10,9,5.526687860488892,0.19863242159287134,True,0.4652777777777778,False
11,9,5.490873575210571,0.19333525995413461,True,0.8194444444444444,True
12,9,5.271012544631958,0.1437577861878607,True,0.7256944444444444,False
13,9,5.313192367553711,0.11204912182357576,True,0.6597222222222222,False
14,9,5.359762191772461,0.0811997689306736,True,0.8611111111111112,True
15,9,5.3069117069244385,0.11065250842107667,False,0.6736111111111112,False
16,9,5.265649795532227,0.0897566287053956,False,0.8229166666666666,False
17,9,5.210348129272461,0.09406393021345139,False,0.5694444444444444,False
18,9,5.108843088150024,0.07436184088389079,True,0.8680555555555556,True
19,9,5.278255462646484,0.08336854974428813,False,0.8055555555555556,False
20,9,5.102753400802612,0.0534097192188104,True,0.7465277777777778,False
21,9,5.1336164474487305,0.05301089771091938,True,0.8506944444444444,False
22,9,5.088762521743774,0.050569547754195004,True,0.9409722222222222,True
23,9,5.094717025756836,0.03468096939225992,True,0.8784722222222222,False
24,9,5.074801206588745,0.031279676076438695,True,0.7638888888888888,False
25,9,5.124567270278931,0.03937248554494646,False,0.9201388888888888,False
26,9,5.097681999206543,0.020938401834832296,True,0.8298611111111112,False
27,9,5.0415802001953125,0.023315957229998376,False,0.78125,False
28,9,5.0941243171691895,0.03932459404071172,False,0.875,False
29,9,5.061617851257324,0.03797655480189456,False,0.53125,False
30,9,5.0863635540008545,0.028222310667236645,False,0.5833333333333334,False
31,9,5.024881601333618,0.050390139843026795,False,0.9861111111111112,True
32,9,5.098363876342773,0.0507032327974836,False,0.8645833333333334,False
