epoch,mean_train_accuracy,std_train_accuracy,mean_valid_accuracy,std_valid_accuracy,min_valid_accuracy,max_valid_accuracy,mean_train_loss,mean_valid_loss
1,0.24930555555555556,0.0017010345435994328,0.25,0.0,0.25,0.25,1.724543367491828,2.4126303791999817
2,0.2673611111111111,0.027815945999585423,0.2534722222222222,0.008505172717997136,0.25,0.2708333333333333,1.4050657828648887,2.497449788782332
3,0.3076388888888889,0.04811853612194077,0.2465277777777778,0.008505172717997148,0.22916666666666666,0.25,1.2482520553800793,2.8486621975898743
4,0.3444444444444444,0.09180545049582155,0.2534722222222222,0.01568276359810585,0.22916666666666666,0.2708333333333333,1.1104460789097679,2.6351122657457986
5,0.39375000000000004,0.10343912595230965,0.2743055555555555,0.02435510821770859,0.25,0.3125,0.9797000487645467,3.1229277716742625
6,0.4923611111111111,0.1559116707436428,0.28125,0.038975597778895234,0.25,0.3541666666666667,0.8560325198703342,2.5922172599368625
7,0.43333333333333335,0.1758313585987058,0.2708333333333333,0.022821773229381934,0.22916666666666666,0.2916666666666667,0.7706945101420084,3.294710708989037
8,0.5916666666666667,0.14939693586029282,0.2916666666666667,0.05892556509887895,0.22916666666666666,0.375,0.6549741241667005,2.7203877700699697
9,0.5881944444444445,0.17647034427179942,0.3229166666666667,0.07064927065755486,0.25,0.4375,0.5671349747313393,3.315277708901299
10,0.5840277777777777,0.1993638610031268,0.3125,0.07095577652469336,0.25,0.4375,0.5013031009170744,3.538366662131416
11,0.6875,0.1565025736387602,0.2916666666666667,0.08936504412303006,0.16666666666666666,0.3958333333333333,0.4257923401064343,2.8964977198176913
12,0.5465277777777778,0.17558269392912107,0.3020833333333333,0.0655505530106345,0.22916666666666666,0.4166666666666667,0.3747118307484521,4.159466160668267
13,0.6506944444444445,0.24408867734372156,0.3055555555555556,0.04096633667709063,0.25,0.375,0.32254681222968634,3.9605614145596824
14,0.5215277777777777,0.15967450978184988,0.3055555555555555,0.03878955567713596,0.25,0.3541666666666667,0.26241507728894553,4.179967867003547
15,0.6409722222222222,0.1933875043839489,0.3020833333333333,0.03423265984407288,0.25,0.3333333333333333,0.2202897278798951,4.165670302179125
16,0.5423611111111112,0.1539168396197067,0.3125,0.05590169943749474,0.25,0.3958333333333333,0.1875057730409834,4.544592685169643
17,0.8055555555555557,0.24179115567564285,0.34027777777777773,0.06133167268283226,0.2916666666666667,0.4583333333333333,0.16208960206972228,3.5022914873229127
18,0.8576388888888888,0.10705711957572858,0.3159722222222222,0.05338647526050715,0.25,0.3958333333333333,0.1532695781853464,3.075105607509613
19,0.6548611111111111,0.22611477952252154,0.3020833333333333,0.07540400446189106,0.22916666666666666,0.4375,0.1300861470401287,4.318555182880826
20,0.7486111111111112,0.1613025682328664,0.3263888888888889,0.04096633667709063,0.2708333333333333,0.375,0.11706349203983941,4.079238573710124
21,0.8743055555555556,0.1501715839619121,0.2916666666666667,0.07682953714410741,0.20833333333333334,0.375,0.09278619219031599,3.209299921989441
22,0.6722222222222222,0.2200010521860361,0.2881944444444444,0.03822599706811911,0.25,0.3333333333333333,0.09918477887080775,4.993306133482192
23,0.7736111111111111,0.18792852266122254,0.34722222222222227,0.06273105439242341,0.2708333333333333,0.4166666666666667,0.08156226273212168,4.301902532577515
24,0.7229166666666668,0.18820700040115404,0.2604166666666667,0.08715208609729953,0.125,0.375,0.07503489951292673,4.293217917283376
25,0.7326388888888888,0.2797620103005542,0.3368055555555556,0.06376043850632236,0.25,0.4166666666666667,0.07597906274927986,4.144109315342374
26,0.8034722222222223,0.2074216161634362,0.3194444444444444,0.07296625298090943,0.25,0.4583333333333333,0.06200966806047492,4.280006130536397
27,0.7576388888888889,0.2650657238553543,0.2986111111111111,0.08606629658238704,0.1875,0.4375,0.06052971231854624,4.542152047157288
28,0.7986111111111112,0.16091463115117444,0.3368055555555556,0.07951313075815192,0.25,0.4583333333333333,0.05076651732540793,4.552964395946927
29,0.8020833333333334,0.15598588789445733,0.3125,0.04930066485916344,0.25,0.3958333333333333,0.04856461739788453,4.283684796757169
30,0.8083333333333332,0.23438749966668443,0.3229166666666667,0.06940971353732367,0.22916666666666666,0.3958333333333333,0.04350355774578121,4.379325111707051
31,0.9625,0.06987091272084862,0.3368055555555556,0.09808643674878846,0.20833333333333334,0.4791666666666667,0.038652013645817836,3.2562242613898387
32,0.9083333333333333,0.11645814698852115,0.3298611111111111,0.07729887282969101,0.2708333333333333,0.4791666666666667,0.03477223186443249,3.8747469849056664
33,0.9020833333333332,0.10572993636829849,0.3298611111111111,0.09073070144766425,0.25,0.4791666666666667,0.03207634870583812,4.0729293955696955
34,0.7805555555555556,0.19182360724451067,0.3194444444444444,0.05843245546656285,0.25,0.3958333333333333,0.030463644748346674,4.6300646728939485
35,0.8069444444444445,0.23429365872451294,0.3055555555555555,0.06133167268283229,0.25,0.4166666666666667,0.03024491745357712,4.375104930665758
