epoch,train_batch_count,dur,train_loss,train_loss_best,train_accuracy,train_accuracy_best
1,9,4.734801769256592,1.4718487395180597,True,0.25,True
2,9,4.841716766357422,1.3305761814117432,True,0.3888888888888889,True
3,9,4.808915615081787,1.2244305743111505,True,0.34375,False
4,9,4.697028398513794,1.0491026308801439,True,0.4097222222222222,True
5,9,4.648047208786011,0.9411264790429009,True,0.2777777777777778,False
6,9,4.6500115394592285,0.8448102474212646,True,0.5659722222222222,True
7,9,4.738495588302612,0.7629753748575846,True,0.5208333333333334,False
8,9,4.738144397735596,0.6610518097877502,True,0.3784722222222222,False
9,9,4.5751073360443115,0.5743992726008097,True,0.6215277777777778,True
10,9,4.530170202255249,0.4872624741660224,True,0.7465277777777778,True
11,9,4.466845273971558,0.4263884954982334,True,0.6840277777777778,False
12,9,4.648608446121216,0.40490684575504726,True,0.3090277777777778,False
13,9,4.498465299606323,0.33084985117117566,True,0.6527777777777778,False
14,9,4.522066354751587,0.26286684970060986,True,0.5138888888888888,False
15,9,4.572201490402222,0.24156133168273503,True,0.6979166666666666,False
16,9,4.553333759307861,0.20027265946070352,True,0.9375,True
17,9,4.5066282749176025,0.17031723260879517,True,0.9722222222222222,True
18,9,4.547445058822632,0.13669034176402622,True,0.9965277777777778,True
19,9,4.59451150894165,0.1558533509572347,False,0.6840277777777778,False
20,9,4.543282747268677,0.14057407197025087,False,0.9965277777777778,False
21,9,4.5586347579956055,0.14252893212768766,False,0.5104166666666666,False
22,9,4.512545824050903,0.1052594855427742,True,0.6805555555555556,False
23,9,4.564411878585815,0.09381325501534674,True,0.6354166666666666,False
24,9,4.562116384506226,0.0835835308664375,True,0.9444444444444444,False
25,9,4.520736455917358,0.09271886365281211,False,0.9965277777777778,False
26,9,4.581146240234375,0.05599936615261766,True,0.7048611111111112,False
27,9,4.632522821426392,0.06116006854507658,False,0.875,False
28,9,4.515749216079712,0.060676230324639216,False,1.0,True
29,9,4.528095245361328,0.046335017722513944,True,0.9583333333333334,False
