epoch,mean_train_accuracy,std_train_accuracy,mean_valid_accuracy,std_valid_accuracy,min_valid_accuracy,max_valid_accuracy,mean_train_loss,mean_valid_loss
1,0.2625,0.009860132971832717,0.2638888888888889,0.021516574145596767,0.25,0.2916666666666667,1.4754480825530158,1.8181096381611292
2,0.37777777777777777,0.11461489464320974,0.3159722222222222,0.06899157892788774,0.25,0.3958333333333333,1.008978385395474,2.9128594762749143
3,0.4513888888888889,0.13995700397966143,0.3819444444444444,0.09001028747788693,0.2708333333333333,0.5416666666666666,0.7620297431945801,2.6790489620632596
4,0.5076388888888889,0.13407130841735207,0.4479166666666667,0.11315396345000225,0.2916666666666667,0.5833333333333334,0.6587219758166207,2.995623264047835
5,0.5402777777777777,0.1656776209210951,0.4548611111111111,0.1439863194375951,0.25,0.6041666666666666,0.5519389030006198,2.7504260540008545
6,0.6048611111111112,0.060347182265681705,0.4618055555555555,0.05805987490577358,0.3958333333333333,0.5416666666666666,0.44327927960289853,2.537056532171037
7,0.7090277777777777,0.10456313439293066,0.5069444444444444,0.11611974981154712,0.3541666666666667,0.6458333333333334,0.3605010093914138,2.051232569747501
8,0.6305555555555555,0.18713235561633515,0.4618055555555555,0.09355689989796859,0.2916666666666667,0.5416666666666666,0.28599690232012004,2.7357601589626737
9,0.6451388888888888,0.14566458490757558,0.53125,0.10099333036284013,0.3958333333333333,0.6666666666666666,0.26205759702457326,2.5725671516524424
10,0.7097222222222221,0.18052136428401752,0.5277777777777778,0.06133167268283226,0.4375,0.6041666666666666,0.24716352464424238,2.7127841843499083
11,0.6854166666666667,0.18943904765854844,0.5173611111111112,0.10070641691276384,0.375,0.6458333333333334,0.2130983737607797,2.5255294607745276
12,0.7458333333333332,0.21091730870440933,0.5729166666666666,0.16337903272248044,0.3958333333333333,0.8125,0.17855366191102398,2.1754594213432736
13,0.7444444444444445,0.1814422671162822,0.5972222222222222,0.12476830378597616,0.4791666666666667,0.8125,0.14327167032493485,2.3689326445261636
14,0.7180555555555556,0.13177913621184784,0.5729166666666666,0.10099333036284017,0.4791666666666667,0.7291666666666666,0.12671935649381744,2.3171068496174283
15,0.8312499999999999,0.12833739171072125,0.6006944444444445,0.12177554108854295,0.4375,0.7708333333333334,0.10806440946956475,1.9336355527242024
16,0.748611111111111,0.12149721837998628,0.545138888888889,0.09630019133860458,0.3958333333333333,0.6666666666666666,0.10339613625158867,2.3925385938750376
17,0.7402777777777777,0.2151011820481666,0.5555555555555556,0.14047703120544763,0.3125,0.7083333333333334,0.09232444862524669,2.963593966431088
18,0.8006944444444444,0.09615585824105609,0.5868055555555556,0.042525863589985786,0.5416666666666666,0.6458333333333334,0.09369461842709116,2.1558197802967496
19,0.8201388888888889,0.16472655512382628,0.5416666666666666,0.10785149254620656,0.4375,0.7083333333333334,0.0772477326914668,2.224565602011151
20,0.7756944444444445,0.22306913269872858,0.579861111111111,0.10156472575908683,0.4791666666666667,0.7291666666666666,0.07297672821829716,2.6710892816384635
21,0.7881944444444445,0.14061908423770883,0.6041666666666666,0.13176156917368248,0.4166666666666667,0.75,0.06305334296905332,2.240624394681719
22,0.8416666666666667,0.12421978729476059,0.6041666666666666,0.07795119555779047,0.5,0.7083333333333334,0.05910970860471328,2.1045986877547374
23,0.8854166666666666,0.09485917925477155,0.5972222222222222,0.04096633667709064,0.5416666666666666,0.6458333333333334,0.057938769418332314,1.9457317292690277
24,0.8166666666666668,0.250305369055036,0.5694444444444444,0.11461489464320974,0.3958333333333333,0.6666666666666666,0.04787478216199411,2.5078328947226205
25,0.8569444444444444,0.14966784211367173,0.6284722222222222,0.15162125388490105,0.375,0.7916666666666666,0.05507178976097041,1.97353595495224
26,0.876388888888889,0.10934358014313653,0.6145833333333334,0.0706492706575549,0.5416666666666666,0.7083333333333334,0.04240677232543627,2.0124781760904527
27,0.8013888888888889,0.14571820852692463,0.5972222222222222,0.09562174710032503,0.5,0.7708333333333334,0.03256076491541333,2.4861790074242487
28,0.7243055555555555,0.18063192829208938,0.5208333333333334,0.14907119849998596,0.375,0.7916666666666666,0.03577753622084856,3.1998585528797574
29,0.8659722222222223,0.11147423303001293,0.6076388888888888,0.10575182775760462,0.5,0.75,0.034446226681272195,1.9651785029305353
30,0.8798611111111111,0.11691689435314806,0.6041666666666666,0.051031036307982856,0.5208333333333334,0.6666666666666666,0.03150520493379898,2.257397711277008
31,0.9402777777777778,0.06018874633339016,0.611111111111111,0.07414637675021744,0.5,0.6875,0.03957072656808628,1.994488040606181
32,0.9611111111111111,0.05506729889333057,0.65625,0.1035397803315765,0.5416666666666666,0.8125,0.03322046105232504,1.672397024101681
33,0.7583333333333333,0.21565468797233336,0.5416666666666666,0.16873713942763827,0.3125,0.7708333333333334,0.0333827615249902,3.3362787432140775
34,0.8381944444444445,0.11935639519554064,0.5972222222222222,0.08193267335418128,0.5,0.7291666666666666,0.03178816876995067,2.551207959651947
35,0.8555555555555555,0.12314362286310995,0.5625,0.10944937947136417,0.375,0.6875,0.024974207238604624,2.2086099253760443
