epoch,loss,train_accuracy
1,961.6215324401855,0.2510248372317338
2,585.3432722091675,0.2507836990595611
3,354.99335408210754,0.25657101519170483
4,239.46875715255737,0.26139377863515795
5,188.32454323768616,0.2618760549795033
6,155.3631192445755,0.2642874367012298
7,141.9639288187027,0.2686279238003376
8,127.65361666679382,0.26790450928381965
9,120.28024065494537,0.2775500361707258
10,115.30112051963806,0.2707981673498915
11,111.44300436973572,0.2736918254159634
12,110.09850525856018,0.2736918254159634
13,107.1524384021759,0.2671810947673017
14,105.15595483779907,0.2826139377863516
15,103.56810939311981,0.2753797926211719
16,102.65236413478851,0.2674222329394743
17,100.27380096912384,0.2891246684350133
18,101.68729889392853,0.2674222329394743
19,98.81409513950348,0.2674222329394743
20,99.34843802452087,0.28237279961417894
