epoch,loss,train_accuracy
1,89.06377494335175,0.2855075958524234
2,84.79851949214935,0.3793103448275862
3,79.75323855876923,0.42922594646732576
4,76.77955675125122,0.4687726067036412
5,74.5930804014206,0.4873402459609356
6,73.6136724948883,0.4948155292982879
7,72.87688857316971,0.5015673981191222
8,71.92476499080658,0.5049433325295394
9,71.6015892624855,0.5160356884494816
10,71.20832794904709,0.5172413793103449
11,70.40976506471634,0.5174825174825175
12,69.79439014196396,0.527610320713769
13,69.43635904788971,0.5218230045816252
14,69.1826941370964,0.5309862551241862
15,68.80825448036194,0.5338799131902581
16,68.25265395641327,0.5377381239450205
17,68.03390890359879,0.5382204002893658
18,67.513192653656,0.5394260911502291
19,66.95210641622543,0.5536532433084157
20,66.17562210559845,0.5558234868579696
