epoch,mean_train_accuracy,std_train_accuracy,mean_valid_accuracy,std_valid_accuracy,min_valid_accuracy,max_valid_accuracy,mean_train_loss,mean_valid_loss
1,0.25625000000000003,0.01530931089239486,0.2569444444444445,0.017010345435994303,0.25,0.2916666666666667,1.4487045586109162,3.4475199249055652
2,0.2534722222222222,0.008505172717997124,0.25,0.0,0.25,0.25,0.9693678902255165,4.944343474176194
3,0.3145833333333333,0.0843582802364086,0.3055555555555555,0.0705468061066683,0.25,0.4375,0.7604533261722989,4.393509189287822
4,0.40277777777777773,0.08252384616088361,0.37152777777777773,0.0816673752803724,0.2916666666666667,0.5,0.6229406687948439,2.7449096043904624
5,0.5611111111111111,0.17045011217579395,0.44097222222222227,0.0702385156027238,0.3333333333333333,0.5,0.4959961377912097,2.1022423572010465
6,0.5944444444444444,0.04718953116795983,0.4930555555555556,0.10092167846991641,0.375,0.625,0.396003986398379,1.979985667599572
7,0.6194444444444445,0.11766438461746785,0.5104166666666666,0.08411095515910977,0.4166666666666667,0.6041666666666666,0.3328568759891722,2.1888733307520547
8,0.5868055555555556,0.10399708418277179,0.517361111111111,0.09262441582761756,0.4166666666666667,0.6458333333333334,0.30021994411945346,2.3447634908888073
9,0.7909722222222223,0.09414884295427975,0.5972222222222222,0.0627310543924234,0.5416666666666666,0.6875,0.2570409029722214,1.3334507544835408
10,0.65,0.12837120653272163,0.5,0.06588078458684124,0.4375,0.625,0.21317352743612394,2.1064361797438726
11,0.7791666666666667,0.14174017700630184,0.5694444444444444,0.10838673897292596,0.4375,0.75,0.181335942612754,1.792623751693302
12,0.7743055555555557,0.11664930426361396,0.5868055555555556,0.08376623667926959,0.4583333333333333,0.6875,0.15357291334205203,1.6011991798877716
13,0.8034722222222221,0.10339435922001995,0.6319444444444445,0.06675341578165507,0.5625,0.7291666666666666,0.12539005022909908,1.5521345138549805
14,0.7590277777777779,0.16311670725338098,0.5868055555555556,0.10898574915335729,0.4166666666666667,0.7083333333333334,0.11279075646566021,1.9471476707193587
15,0.7638888888888888,0.10205073175559229,0.576388888888889,0.0504608392349582,0.5,0.6458333333333334,0.0954059304462539,1.9121873378753662
16,0.7999999999999999,0.1491410592545043,0.5625,0.1102396379610246,0.4375,0.6875,0.0844842650824123,1.9556373092863293
17,0.7055555555555556,0.152129939586258,0.5555555555555556,0.11907241805196003,0.3958333333333333,0.7291666666666666,0.08390292384558255,2.414321651061376
18,0.8284722222222222,0.05332139623355991,0.59375,0.09749465797331325,0.4791666666666667,0.75,0.09113238331758312,1.6884708603223164
19,0.8659722222222223,0.12951342344271444,0.6180555555555556,0.03402069087198857,0.5833333333333334,0.6666666666666666,0.09721017107367515,1.7002475692166223
20,0.7895833333333333,0.10700305031996879,0.5868055555555556,0.08681944333351112,0.4791666666666667,0.7083333333333334,0.08248918793267675,2.075212034914229
21,0.7861111111111111,0.11704304368083585,0.5833333333333334,0.0671854812358213,0.4791666666666667,0.6458333333333334,0.07329633426335123,2.0716893408033585
22,0.7999999999999999,0.10992421631894102,0.5590277777777778,0.11366424321300515,0.4583333333333333,0.75,0.058293192212780315,2.104246139526367
23,0.8416666666666667,0.10494707660954107,0.5659722222222222,0.10156472575908686,0.4583333333333333,0.7291666666666666,0.0504425800508923,1.939683828088972
24,0.8951388888888889,0.07907523960455966,0.6319444444444444,0.05692750425533112,0.5416666666666666,0.7083333333333334,0.044464071529606984,1.4651974108484056
25,0.9090277777777778,0.049820278854952084,0.6145833333333334,0.04704829079431754,0.5416666666666666,0.6666666666666666,0.04209974131857355,1.718379663096534
26,0.9277777777777777,0.1119482353921106,0.607638888888889,0.05498842470785875,0.5208333333333334,0.6666666666666666,0.04063790575083759,1.6819643113348217
27,0.8951388888888889,0.09815721044815284,0.6215277777777778,0.12735058420084414,0.4791666666666667,0.8125,0.040343685034248566,1.7799329559008281
28,0.9298611111111111,0.056790102489260766,0.6284722222222222,0.07729887282969097,0.5208333333333334,0.6875,0.03150955308228731,1.611337807443407
29,0.8784722222222223,0.108794424727795,0.5833333333333334,0.07682953714410741,0.5,0.6875,0.03397792193831669,1.8135729134082794
30,0.8624999999999999,0.10762589527308625,0.6006944444444444,0.11212643739530373,0.4791666666666667,0.75,0.029826243232107825,1.84913992550638
31,0.8645833333333334,0.07572565615430481,0.5972222222222222,0.08606629658238703,0.4791666666666667,0.7291666666666666,0.029147760839098032,1.8641209337446423
32,0.8993055555555555,0.11466789808770303,0.5868055555555556,0.060976809495875514,0.5,0.6875,0.023402615408930516,1.9071592622333104
33,0.9,0.10785149254620652,0.5902777777777778,0.06273105439242342,0.5,0.6666666666666666,0.022615786486615736,1.9750016662809584
34,0.9305555555555555,0.08782347614939279,0.6215277777777778,0.10241584169272656,0.4791666666666667,0.75,0.020687419310626055,1.730000469419691
35,0.9118055555555555,0.08864005970883136,0.6493055555555556,0.06376043850632239,0.5625,0.7083333333333334,0.01650416911062267,1.6000029312239752
