fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,10,0.6625,0.4375,0.474012021223704,2.8112691243489585
2,1,23,0.9875,0.4166666666666667,0.07903291434049606,2.307671546936035
3,2,30,0.9958333333333333,0.3958333333333333,0.03280097817381223,3.326104164123535
4,3,31,1.0,0.4791666666666667,0.03564329594373703,2.1766154766082764
5,4,6,0.5208333333333334,0.3541666666666667,0.8388152043024699,1.9707760016123455
6,5,20,0.8166666666666667,0.3541666666666667,0.12409072518348693,3.955514589945475
