fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,10,0.8791666666666667,0.3958333333333333,0.4727693200111389,1.6162482500076294
2,1,26,1.0,0.4583333333333333,0.06367654055356979,2.1693743069966636
3,2,33,1.0,0.4166666666666667,0.045128866533438367,2.9712608655293784
4,3,27,1.0,0.625,0.03966834098100662,1.8274778127670288
5,4,20,0.6666666666666666,0.4375,0.1476214478413264,3.653822739919027
6,5,20,0.7333333333333333,0.3958333333333333,0.10248608936866124,4.037035624186198
