epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best,train_accuracy,train_accuracy_best,valid_accuracy,valid_accuracy_best,event_cp
1,8,2,4.6206347942352295,1.4636703888575235,True,1.535179615020752,True,0.25,True,0.25,True,True
2,8,2,4.407949209213257,1.3495946645736694,True,2.309537092844645,False,0.3458333333333333,True,0.2916666666666667,True,True
3,8,2,4.291808366775513,1.1617011547088623,True,3.0933396021525064,False,0.4875,True,0.20833333333333334,False,False
4,8,2,4.386564254760742,1.065705140431722,True,2.3225513696670532,False,0.30416666666666664,False,0.2708333333333333,False,False
5,8,2,4.2816808223724365,0.847388752301534,True,4.621583143870036,False,0.2625,False,0.2708333333333333,False,False
6,8,2,4.143630027770996,0.8002320051193237,True,4.248152891794841,False,0.3625,False,0.2916666666666667,False,False
7,8,2,4.126842260360718,0.6895133097966512,True,2.0466487407684326,False,0.7125,True,0.3333333333333333,True,True
8,8,2,4.181486368179321,0.5822083075841268,True,3.348872661590576,False,0.37916666666666665,False,0.2708333333333333,False,False
9,8,2,4.391238212585449,0.46153011322021487,True,3.482720375061035,False,0.5083333333333333,False,0.4166666666666667,True,True
10,8,2,4.0085062980651855,0.42668410936991374,True,1.8356237411499023,False,0.8833333333333333,True,0.375,False,False
11,8,2,4.027070999145508,0.3551398436228434,True,3.7131948471069336,False,0.4708333333333333,False,0.3541666666666667,False,False
12,8,2,3.9153759479522705,0.27956246833006543,True,5.687624295552571,False,0.49583333333333335,False,0.375,False,False
13,8,2,3.913935899734497,0.2821722090244293,False,2.4502583344777427,False,0.8083333333333333,False,0.3541666666666667,False,False
14,8,2,3.9089198112487793,0.24356372157732645,True,2.0384392738342285,False,0.8875,True,0.4791666666666667,True,True
15,8,2,4.0707314014434814,0.24571522772312165,False,3.5472049713134766,False,0.7208333333333333,False,0.3541666666666667,False,False
16,8,2,3.926730155944824,0.18028493920962016,True,2.037842035293579,False,0.9791666666666666,True,0.4166666666666667,False,False
17,8,2,3.971270799636841,0.1499028335014979,True,2.800305128097534,False,0.8291666666666667,False,0.4583333333333333,False,False
18,8,2,3.9631094932556152,0.13479958573977152,True,4.431558132171631,False,0.6541666666666667,False,0.375,False,False
19,8,2,3.9302608966827393,0.14710309505462646,False,3.2068180243174234,False,0.7458333333333333,False,0.375,False,False
20,8,2,3.905987501144409,0.11629124681154887,True,3.331676801045736,False,0.8,False,0.3958333333333333,False,False
21,8,2,3.9313902854919434,0.09349838644266129,True,5.825894832611084,False,0.5125,False,0.375,False,False
22,8,2,3.8760948181152344,0.08369684418042501,True,2.646315574645996,False,0.975,False,0.5,True,True
23,8,2,3.936384439468384,0.07036985506614049,True,2.2548487186431885,False,1.0,True,0.3958333333333333,False,False
24,8,2,3.9209413528442383,0.06536640152335167,True,2.6076670487721763,False,0.9583333333333334,False,0.4166666666666667,False,False
25,8,2,4.27139139175415,0.060080686211586,True,3.0033658345540366,False,0.9833333333333333,False,0.3333333333333333,False,False
26,8,2,4.058785438537598,0.05647087668379148,True,3.034269650777181,False,0.8875,False,0.375,False,False
27,8,2,4.205494403839111,0.05718810185790062,False,5.535978317260742,False,0.5541666666666667,False,0.3333333333333333,False,False
28,8,2,4.126319408416748,0.054050185283025104,True,2.4186068375905356,False,1.0,False,0.4375,False,False
29,8,2,4.10010290145874,0.03849206529557705,True,2.6223392486572266,False,1.0,False,0.5416666666666666,True,True
30,8,2,4.187695026397705,0.030063696205615997,True,4.265742301940918,False,0.7458333333333333,False,0.3541666666666667,False,False
31,8,2,4.120551109313965,0.04800652414560318,False,2.564906676610311,False,1.0,False,0.4166666666666667,False,False
32,8,2,4.088597297668457,0.04884087132910887,False,4.097893079121907,False,0.7791666666666667,False,0.3125,False,False
33,8,2,4.092604637145996,0.03629412949085235,False,2.7389584382375083,False,1.0,False,0.3541666666666667,False,False
34,8,2,4.129271984100342,0.028470395257075627,True,4.537312189737956,False,0.75,False,0.375,False,False
35,8,2,4.182418346405029,0.021087340886394183,True,3.487515608469645,False,0.9291666666666667,False,0.3958333333333333,False,False
36,8,2,4.526372194290161,0.024346452299505474,False,3.291495402654012,False,0.9916666666666667,False,0.4375,False,False
37,8,2,4.483250617980957,0.02678310138483842,False,4.7102376619974775,False,0.6958333333333333,False,0.2916666666666667,False,False
38,8,2,4.147007465362549,0.020910905053218205,True,3.126106023788452,False,0.9625,False,0.375,False,False
39,8,2,4.275045394897461,0.028643646960457167,False,3.9309541384379068,False,0.8416666666666667,False,0.3125,False,False
