epoch,mean_train_accuracy,std_train_accuracy,mean_valid_accuracy,std_valid_accuracy,min_valid_accuracy,max_valid_accuracy,mean_train_loss,mean_valid_loss
1,0.25555555555555554,0.013608276348795434,0.25,0.0,0.25,0.25,1.6330071118142868,2.730713744958242
2,0.2722222222222222,0.02292297892864194,0.2569444444444444,0.010758287072798365,0.25,0.2708333333333333,1.145527341630724,4.083802541097005
3,0.32222222222222224,0.07224892668688865,0.2638888888888889,0.0364831264904547,0.22916666666666666,0.3333333333333333,0.8779533392853206,4.95977477894889
4,0.37847222222222227,0.14155428549055213,0.2881944444444445,0.051734945922747716,0.25,0.3541666666666667,0.7062647534741296,4.540788637267219
5,0.45,0.16593589793116567,0.3541666666666667,0.1102396379610246,0.25,0.5625,0.6009400791592068,4.434191889233059
6,0.4305555555555555,0.11950902646832752,0.2951388888888889,0.04043312952224899,0.25,0.3541666666666667,0.49964869883325363,3.7701900402704873
7,0.576388888888889,0.23267267582179496,0.4270833333333333,0.12129938856674699,0.2708333333333333,0.625,0.3979861872063743,3.0724691616164317
8,0.6645833333333333,0.1570728334244977,0.44097222222222227,0.08166737528037242,0.3333333333333333,0.5416666666666666,0.2992275575796763,2.9274245136313968
9,0.5861111111111111,0.2520839072537085,0.4131944444444445,0.20975211339596575,0.1875,0.7708333333333334,0.26083423958884344,3.9762914710574684
10,0.5083333333333333,0.1809504229217372,0.3680555555555556,0.11231981455086518,0.22916666666666666,0.5,0.22381056629949145,4.213759859402974
11,0.6347222222222223,0.19990738596400826,0.4236111111111111,0.06273105439242342,0.3125,0.5,0.18375288893779118,2.987501084804535
12,0.7743055555555555,0.2150164184084211,0.5208333333333334,0.15478479684172256,0.3541666666666667,0.6875,0.1628167995148235,2.863401015599569
13,0.5861111111111111,0.18861090656182655,0.3645833333333333,0.12825619976351155,0.22916666666666666,0.5833333333333334,0.14041289811333021,4.1525620718797045
14,0.6027777777777777,0.18165264981602988,0.3819444444444444,0.12195361899175107,0.2708333333333333,0.5416666666666666,0.12397239450365305,3.988559696409437
15,0.7305555555555555,0.13945993716502983,0.4826388888888889,0.15779330420474708,0.2708333333333333,0.625,0.08463872348268826,3.032657580243216
16,0.6895833333333333,0.11822618388307879,0.43402777777777773,0.03588336300767727,0.3958333333333333,0.5,0.08815811928361654,3.26019780503379
17,0.6409722222222222,0.15207857679015316,0.4236111111111111,0.09285841472470431,0.2916666666666667,0.5625,0.0765189842424459,3.676450934675005
18,0.5701388888888889,0.265340670264278,0.4375,0.1586619397054981,0.2708333333333333,0.625,0.06584085257103046,4.739840805530548
19,0.8152777777777778,0.1459562973658236,0.4930555555555556,0.15233521759106958,0.2916666666666667,0.6875,0.057924532559182916,3.1110307574272156
20,0.8277777777777778,0.15169566267390136,0.5208333333333334,0.11785113019775792,0.3541666666666667,0.6666666666666666,0.0522591980588105,2.7769040250115924
21,0.6777777777777777,0.2273284864260103,0.4375,0.19002923751652298,0.1875,0.625,0.053478766750130385,4.01196872525745
22,0.7520833333333333,0.20284007794866926,0.4791666666666667,0.14129854131510972,0.3125,0.7291666666666666,0.052878090056280296,3.691018207205667
23,0.7277777777777779,0.2141953072073,0.4166666666666667,0.08936504412303006,0.2708333333333333,0.5208333333333334,0.04006277412797014,3.7442965772416854
24,0.7111111111111111,0.143048813217597,0.4375,0.10120798167909266,0.2916666666666667,0.5625,0.04235559654318624,3.782404820124308
25,0.7930555555555556,0.13485245709732244,0.4756944444444445,0.16373285887101002,0.22916666666666666,0.6458333333333334,0.03732782441915737,3.3552573290136123
26,0.8756944444444444,0.07720898167863537,0.5416666666666666,0.08122328620674137,0.4166666666666667,0.6458333333333334,0.030823581096612745,2.5225119988123574
27,0.8458333333333333,0.09954758772678636,0.5381944444444444,0.10656950870293615,0.3958333333333333,0.6666666666666666,0.029533498040917847,2.5236932833989463
28,0.7513888888888888,0.09093139457040408,0.5138888888888888,0.13088021099321942,0.3125,0.6458333333333334,0.03093356567745407,3.399430440531836
29,0.7458333333333332,0.15621388471508468,0.513888888888889,0.16753247335853916,0.2916666666666667,0.6666666666666666,0.02540494782022304,3.8119166096051535
30,0.7013888888888888,0.25403229599286664,0.43402777777777773,0.16531570526543268,0.25,0.625,0.02650038003921509,4.077691846423679
31,0.7458333333333332,0.14605934866804426,0.4618055555555556,0.14398631943759513,0.22916666666666666,0.625,0.02104011894358943,3.622023317548964
32,0.8861111111111111,0.10009254976529736,0.545138888888889,0.10156472575908686,0.375,0.6875,0.025141135127180154,2.595456898212433
33,0.8638888888888889,0.17067404497939817,0.5416666666666666,0.18018123592033045,0.22916666666666666,0.7291666666666666,0.021554628728578485,2.8970356053776207
34,0.7840277777777778,0.10831463513849449,0.4618055555555556,0.10656950870293612,0.3541666666666667,0.625,0.02956209931936529,3.5370367765426636
35,0.8375,0.1078192932642391,0.5069444444444444,0.10262751778839536,0.375,0.6041666666666666,0.02792227501308338,3.0929109255472818
