fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,18,0.8791666666666667,0.75,0.08171855260928472,1.3798660437266033
2,1,24,0.9125,0.7083333333333334,0.04773613711198171,1.1326987346013386
3,2,20,0.925,0.7083333333333334,0.07899212042490641,0.9750527540842692
4,3,11,0.9458333333333333,0.75,0.15607598821322125,0.7470677693684896
5,4,27,1.0,0.8125,0.03268272529045741,0.9732623100280762
6,5,18,0.8375,0.6041666666666666,0.09887410663068294,1.4755975008010864
