epoch,mean_train_accuracy,std_train_accuracy,mean_valid_accuracy,std_valid_accuracy,min_valid_accuracy,max_valid_accuracy,mean_train_loss,mean_valid_loss
1,0.30416666666666664,0.06252777160768025,0.2777777777777778,0.06804138174397718,0.25,0.4166666666666667,1.5362823486328125,3.014925864007738
2,0.3666666666666667,0.06917168656482378,0.34027777777777773,0.07176672601535453,0.25,0.3958333333333333,1.0226747320757972,3.05134348736869
3,0.38680555555555557,0.10955771774967986,0.37847222222222227,0.1174206785057076,0.25,0.5625,0.8352965599960752,3.6558854248788624
4,0.44236111111111115,0.10754251958420222,0.40277777777777773,0.08806037491192975,0.2708333333333333,0.4791666666666667,0.6890121519565583,3.3926242722405324
5,0.5034722222222222,0.1531025588242029,0.4375,0.125,0.2916666666666667,0.625,0.5995462593105104,3.3603959613376193
6,0.49444444444444446,0.1772997044136994,0.4270833333333333,0.15008678045273227,0.25,0.625,0.49201873342196145,3.6741914020644297
7,0.5479166666666667,0.14028121557943687,0.4826388888888889,0.09168244813646882,0.3541666666666667,0.6041666666666666,0.4529594649871191,2.4354289438989425
8,0.6291666666666667,0.056947831877566316,0.49652777777777773,0.09808643674878843,0.375,0.6041666666666666,0.3607324883341789,2.4257920914226108
9,0.6958333333333333,0.1377648963512355,0.5555555555555556,0.11076334465209381,0.4375,0.7291666666666666,0.3075453751617008,1.7993823952145045
10,0.6819444444444445,0.18489236107850748,0.5451388888888888,0.13334418358629785,0.3958333333333333,0.7291666666666666,0.2532440029912525,2.3333222336239285
11,0.5979166666666668,0.1631876476125976,0.4895833333333333,0.10437479208229458,0.3125,0.5833333333333334,0.22683870635098882,2.754714972443051
12,0.6770833333333334,0.132070845887097,0.5451388888888888,0.10492777498338064,0.4583333333333333,0.6875,0.18849909181396166,2.274020228121016
13,0.7166666666666667,0.1925342682341106,0.5659722222222222,0.1632018319840894,0.2916666666666667,0.7916666666666666,0.18769894792801803,2.287748710976707
14,0.7965277777777778,0.10499393721473564,0.625,0.0833333333333333,0.5208333333333334,0.7083333333333334,0.16116278709636794,1.6686231295267742
15,0.7013888888888888,0.1701034543599429,0.5208333333333334,0.16404183070857944,0.2916666666666667,0.7708333333333334,0.1327434870103995,2.3508647349145675
16,0.7465277777777778,0.15867105794576922,0.5868055555555556,0.12319295689944959,0.3958333333333333,0.75,0.12565961670544412,2.319721778233846
17,0.7784722222222222,0.16039051013305228,0.5798611111111112,0.10492777498338066,0.4583333333333333,0.7083333333333334,0.1030213078070018,2.085496644179026
18,0.6354166666666666,0.1546220751093165,0.4895833333333333,0.07987620630283675,0.3958333333333333,0.625,0.10479546164472897,2.921199381351471
19,0.8402777777777778,0.15836987882333725,0.6041666666666666,0.09501461875826146,0.4791666666666667,0.75,0.07948168493393394,1.8020055890083313
20,0.8229166666666666,0.1860732755902601,0.6180555555555556,0.10838673897292594,0.5,0.8125,0.07115943816800913,1.9319432477156322
21,0.8159722222222223,0.15788129917640537,0.59375,0.09660019266141358,0.4791666666666667,0.7291666666666666,0.07691642104958495,1.8566094901826646
22,0.8277777777777778,0.20599802228464523,0.642361111111111,0.1326915980203162,0.3958333333333333,0.7916666666666666,0.06948611332724491,1.7510726518101165
23,0.8194444444444445,0.1021527541732732,0.6215277777777778,0.040433129522249006,0.5625,0.6666666666666666,0.05888098792897331,2.0151807268460593
24,0.7333333333333334,0.19144915193799575,0.5520833333333334,0.10013012367248264,0.4375,0.6875,0.06214744796355565,2.6791579325993857
25,0.7840277777777778,0.10180375547900788,0.6041666666666666,0.04930066485916344,0.5416666666666666,0.6875,0.0729628925729129,2.4866628779305353
26,0.7611111111111111,0.18476085644441592,0.5763888888888888,0.11309001658790158,0.3958333333333333,0.6666666666666666,0.06279910625889897,2.4374059703614974
27,0.8104166666666667,0.0664971803913519,0.579861111111111,0.04642920736235217,0.5416666666666666,0.6458333333333334,0.06046023515777455,2.0928867194387646
28,0.8631944444444444,0.12111795979616391,0.6458333333333334,0.03726779962499649,0.5833333333333334,0.6875,0.04860735924707519,1.7242761254310608
29,0.8118055555555556,0.15785930503199733,0.607638888888889,0.07266822755714009,0.5208333333333334,0.7291666666666666,0.043476381649573646,2.2569857239723206
30,0.8409722222222222,0.0872184624101181,0.6180555555555556,0.07869008596786277,0.4791666666666667,0.7083333333333334,0.037365255960159834,1.9042781194051106
31,0.8069444444444445,0.2260571871271777,0.5833333333333334,0.11410886614690957,0.4375,0.7083333333333334,0.028502874831772513,2.087405502796173
32,0.9611111111111111,0.07339328357604716,0.7118055555555555,0.06376043850632238,0.625,0.8125,0.031015833839774132,1.098920120133294
33,0.9430555555555555,0.05235208439728774,0.6666666666666666,0.07095577652469331,0.5833333333333334,0.7916666666666666,0.03572206957679656,1.4624412324693468
34,0.8541666666666666,0.15119891240055633,0.6354166666666666,0.1268953527736755,0.4583333333333333,0.8125,0.0308356363636752,2.0043495628568864
35,0.8055555555555555,0.22158937666741121,0.5833333333333334,0.1613743060919757,0.3541666666666667,0.7708333333333334,0.032288047505749595,2.406852099630568
