epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best,train_accuracy,train_accuracy_best,valid_accuracy,valid_accuracy_best,fold,validation_run
1,8,2,4.875554323196411,1.9966653029123942,True,3.284010569254557,True,0.25,True,0.25,True,1,0
2,8,2,4.565735816955566,1.3789154847462972,True,2.963715394337972,True,0.25,False,0.25,False,1,0
3,8,2,4.922142267227173,1.2338113943735758,True,2.871053695678711,True,0.30833333333333335,True,0.2708333333333333,True,1,0
4,8,2,4.946784973144531,1.0433656613032023,True,1.6142487525939941,True,0.6,True,0.3541666666666667,True,1,0
5,8,2,4.766443967819214,0.9403789679209391,True,2.820965846379598,False,0.475,False,0.3333333333333333,False,1,0
6,8,2,4.792750597000122,0.8290582060813904,True,3.132704257965088,False,0.42916666666666664,False,0.2916666666666667,False,1,0
7,8,2,4.68182373046875,0.7260767141977946,True,2.387204647064209,False,0.425,False,0.2916666666666667,False,1,0
8,8,2,4.5189032554626465,0.6324488401412964,True,4.079573472340901,False,0.48333333333333334,False,0.3333333333333333,False,1,0
9,8,2,6.634947061538696,0.5437974731127421,True,1.854267994562785,False,0.9208333333333333,True,0.2916666666666667,False,1,0
10,8,2,4.52421760559082,0.4727693200111389,True,1.6162482500076294,False,0.8791666666666667,False,0.3958333333333333,True,1,0
11,8,2,4.839618921279907,0.4195943772792816,True,3.3489632606506348,False,0.5041666666666667,False,0.25,False,1,0
12,8,2,4.825474977493286,0.34822831948598226,True,7.273415406545003,False,0.25833333333333336,False,0.25,False,1,0
13,8,2,4.539496660232544,0.2902347187201182,True,2.452925125757853,False,0.7541666666666667,False,0.3125,False,1,0
14,8,2,4.581981182098389,0.2529020130634308,True,5.161290963490804,False,0.45,False,0.2708333333333333,False,1,0
15,8,2,4.656460523605347,0.21824991305669147,True,5.377102216084798,False,0.3625,False,0.2708333333333333,False,1,0
16,8,2,4.601742744445801,0.193837038675944,True,3.7747995058695474,False,0.6208333333333333,False,0.3333333333333333,False,1,0
17,8,2,4.60848331451416,0.19685006340344746,False,3.2618585427602134,False,0.7416666666666667,False,0.3541666666666667,False,1,0
18,8,2,4.566132307052612,0.16583837568759918,True,3.6274994214375815,False,0.6833333333333333,False,0.3958333333333333,False,1,0
19,8,2,4.566890239715576,0.18625896374384562,False,4.343159119288127,False,0.45416666666666666,False,0.25,False,1,0
20,8,2,4.5676589012146,0.15110331177711486,True,3.7164032459259033,False,0.7333333333333333,False,0.3541666666666667,False,1,0
21,8,2,4.524111032485962,0.16934430400530498,False,3.3915606339772544,False,0.7541666666666667,False,0.2916666666666667,False,1,0
22,8,2,4.542943477630615,0.12115184366703033,True,3.873908042907715,False,0.7083333333333334,False,0.3125,False,1,0
23,8,2,4.501128911972046,0.09220987409353257,True,5.066203276316325,False,0.6166666666666667,False,0.2916666666666667,False,1,0
24,8,2,4.52704644203186,0.1116716538866361,False,2.9517228603363037,False,0.925,True,0.3541666666666667,False,1,0
25,8,2,4.539487361907959,0.08602509746948878,True,3.3902037143707275,False,0.8208333333333333,False,0.2916666666666667,False,1,0
26,8,2,4.492884159088135,0.06870577683051428,True,3.280393679936727,False,0.8916666666666667,False,0.3333333333333333,False,1,0
27,8,2,4.530596971511841,0.07011225620905558,False,4.0679928461710615,False,0.8291666666666667,False,0.375,False,1,0
28,8,2,4.506867170333862,0.04678269475698471,True,3.747000217437744,False,0.8291666666666667,False,0.375,False,1,0
29,8,2,4.465637922286987,0.04512329548597336,True,3.578913927078247,False,0.8416666666666667,False,0.3541666666666667,False,1,0
30,8,2,4.47799825668335,0.045181335508823396,False,2.8767945766448975,False,0.9541666666666667,True,0.3958333333333333,False,1,0
31,8,2,4.4711384773254395,0.05190854072570801,False,2.914229909578959,False,0.9541666666666667,False,0.3541666666666667,False,1,0
32,8,2,4.466625213623047,0.04782077173391978,False,2.918605168660482,False,0.9958333333333333,True,0.3333333333333333,False,1,0
33,8,2,4.476031064987183,0.051953353981177015,False,2.792739510536194,False,1.0,True,0.3541666666666667,False,1,0
34,8,2,4.485873222351074,0.03315247694651286,True,2.6192780335744223,False,0.9916666666666667,False,0.3958333333333333,False,1,0
35,8,2,4.538289546966553,0.06527767578760783,False,3.5744833946228027,False,0.9541666666666667,False,0.2916666666666667,False,1,0
1,8,2,4.491990804672241,1.860252030690511,True,2.359501600265503,True,0.25833333333333336,True,0.25,True,2,1
2,8,2,4.533486843109131,1.4764736652374268,True,2.139471928278605,True,0.25,False,0.2708333333333333,True,2,1
3,8,2,4.506912469863892,1.208749532699585,True,4.135231335957845,False,0.325,True,0.25,False,2,1
4,8,2,4.540764808654785,1.1812522967656454,True,2.9774314562479653,False,0.42916666666666664,True,0.3333333333333333,True,2,1
5,8,2,4.544569730758667,1.0015451033910117,True,4.480184555053711,False,0.25,False,0.25,False,2,1
6,8,2,4.50684380531311,0.8828709602355957,True,2.5708446502685547,False,0.4666666666666667,True,0.4166666666666667,True,2,1
7,8,2,4.468460321426392,0.7571517864863078,True,2.1375490029652915,True,0.49583333333333335,True,0.2916666666666667,False,2,1
8,8,2,4.529226303100586,0.6214048544565837,True,3.0198001861572266,False,0.475,False,0.3333333333333333,False,2,1
9,8,2,4.529768228530884,0.6217826207478842,False,2.172175407409668,False,0.6666666666666666,True,0.4375,True,2,1
10,8,2,4.558314085006714,0.5082103927930196,True,2.8563413619995117,False,0.7125,True,0.3125,False,2,1
11,8,2,4.474522352218628,0.3900845289230347,True,2.4000144004821777,False,0.55,False,0.3958333333333333,False,2,1
12,8,2,4.5041728019714355,0.3635983089605967,True,5.441830476125081,False,0.325,False,0.25,False,2,1
13,8,2,4.523350715637207,0.3422020892302195,True,3.342944622039795,False,0.6291666666666667,False,0.375,False,2,1
14,8,2,4.562817335128784,0.39690927068392434,False,3.8357818921407065,False,0.6583333333333333,False,0.3333333333333333,False,2,1
15,8,2,4.493150949478149,0.2821485896905263,True,3.212608814239502,False,0.5958333333333333,False,0.3958333333333333,False,2,1
16,8,2,4.581956624984741,0.2632796585559845,True,3.1604487101236978,False,0.6083333333333333,False,0.3541666666666667,False,2,1
17,8,2,4.540859937667847,0.21597047050793966,True,4.469035625457764,False,0.44166666666666665,False,0.3333333333333333,False,2,1
18,8,2,4.461987257003784,0.2151067038377126,True,3.0113984743754068,False,0.6458333333333334,False,0.4166666666666667,False,2,1
19,8,2,4.486756801605225,0.17627459665139517,True,2.5756348768870034,False,0.7708333333333334,True,0.3333333333333333,False,2,1
20,8,2,4.556870460510254,0.15785580774148306,True,5.899080912272136,False,0.48333333333333334,False,0.25,False,2,1
21,8,2,4.51617169380188,0.16245735387007396,False,2.462270180384318,False,0.875,True,0.3125,False,2,1
22,8,2,4.470654726028442,0.12423251966635386,True,3.866033395131429,False,0.7958333333333333,False,0.3125,False,2,1
23,8,2,4.4878880977630615,0.09425840775171916,True,2.481046517690023,False,0.825,False,0.4375,False,2,1
24,8,2,4.501164674758911,0.07170591304699579,True,2.5144594510396323,False,0.8416666666666667,False,0.4375,False,2,1
25,8,2,4.484892845153809,0.062175567944844565,True,3.490236282348633,False,0.7666666666666667,False,0.3958333333333333,False,2,1
26,8,2,4.482240676879883,0.06367654055356979,False,2.1693743069966636,False,1.0,True,0.4583333333333333,True,2,1
27,8,2,4.462553262710571,0.06333956569433212,False,2.9535371462504068,False,0.9,False,0.375,False,2,1
28,8,2,4.487678289413452,0.0599098006884257,True,4.023008346557617,False,0.7791666666666667,False,0.4166666666666667,False,2,1
29,8,2,4.537494421005249,0.04670582016309102,True,2.025182565053304,True,0.9958333333333333,False,0.4583333333333333,False,2,1
30,8,2,4.622313737869263,0.05242497399449349,False,2.8328593571980796,False,0.8916666666666667,False,0.4166666666666667,False,2,1
31,8,2,4.523566961288452,0.04665150145689646,True,3.0239969889322915,False,0.9958333333333333,False,0.3541666666666667,False,2,1
32,8,2,4.543787002563477,0.04438196457922459,True,4.2077382405598955,False,0.5958333333333333,False,0.375,False,2,1
33,8,2,4.533564805984497,0.041862108806769056,True,3.4376471837361655,False,0.8625,False,0.3958333333333333,False,2,1
34,8,2,4.634786128997803,0.030517525722583136,True,4.569876670837402,False,0.8416666666666667,False,0.3333333333333333,False,2,1
35,8,2,4.379534721374512,0.02387759859363238,True,3.4295296669006348,False,1.0,False,0.3541666666666667,False,2,1
1,8,2,5.101646184921265,1.5686684449513753,True,1.9305299123128254,True,0.25,True,0.25,True,3,2
2,8,2,4.673816442489624,1.2854028224945069,True,1.8639780680338542,True,0.3125,True,0.2708333333333333,True,3,2
3,8,2,4.76285195350647,1.1921582539876303,True,3.588580926259359,False,0.3,False,0.25,False,3,2
4,8,2,4.959211349487305,1.0261546770731609,True,3.823138395945231,False,0.42083333333333334,True,0.20833333333333334,False,3,2
5,8,2,4.834641695022583,0.9056548357009888,True,3.272716204325358,False,0.5208333333333334,True,0.3125,True,3,2
6,8,2,5.120175361633301,0.8327930370966593,True,2.3928962548573813,False,0.6,True,0.20833333333333334,False,3,2
7,8,2,5.047627210617065,0.6970435182253519,True,2.8322742780049643,False,0.7291666666666666,True,0.125,False,3,2
8,8,2,5.082327604293823,0.6858840803305308,True,3.3394614855448403,False,0.4625,False,0.1875,False,3,2
9,8,2,4.520134210586548,0.6106306632359823,True,4.025491873423259,False,0.5208333333333334,False,0.3125,False,3,2
10,8,2,4.379244327545166,0.4598802477121353,True,3.1963822841644287,False,0.7458333333333333,True,0.2708333333333333,False,3,2
11,8,2,4.516637802124023,0.37976278861363727,True,2.741225560506185,False,0.7875,True,0.2708333333333333,False,3,2
12,8,2,4.431634187698364,0.33615466952323914,True,3.2532288233439126,False,0.7625,False,0.3125,False,3,2
13,8,2,4.389732837677002,0.2361267258723577,True,4.205090681711833,False,0.6791666666666667,False,0.2708333333333333,False,3,2
14,8,2,4.678363800048828,0.22031335830688475,True,4.072524706522624,False,0.6291666666666667,False,0.22916666666666666,False,3,2
15,8,2,4.430598735809326,0.17069012224674224,True,5.347570419311523,False,0.5291666666666667,False,0.2708333333333333,False,3,2
16,8,2,5.017885446548462,0.14415552616119384,True,5.113364855448405,False,0.5333333333333333,False,0.2916666666666667,False,3,2
17,8,2,4.827265501022339,0.160906117161115,False,4.087858279546102,False,0.7083333333333334,False,0.2708333333333333,False,3,2
18,8,2,4.729454755783081,0.1381489117940267,True,7.346723874409993,False,0.3625,False,0.25,False,3,2
