epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best,train_accuracy,train_accuracy_best,valid_accuracy,valid_accuracy_best,fold,validation_run
1,8,2,5.730047702789307,1.6886974652608235,True,1.7591896057128906,True,0.26666666666666666,True,0.25,True,1,0
2,8,2,4.828222274780273,1.1300918896993002,True,2.3051448663075766,False,0.325,True,0.2708333333333333,True,1,0
3,8,2,4.637806415557861,0.8629943450291951,True,2.079432805379232,False,0.36666666666666664,True,0.375,True,1,0
4,8,2,4.660893678665161,0.7058679223060608,True,4.2646894454956055,False,0.35,False,0.3333333333333333,False,1,0
5,8,2,4.61305046081543,0.5637704928716024,True,0.9890004396438599,True,0.7458333333333333,True,0.6041666666666666,True,1,0
6,8,2,5.096554517745972,0.4935031036535899,True,3.157286802927653,False,0.5083333333333333,False,0.4583333333333333,False,1,0
7,8,2,5.295678615570068,0.42548157771428424,True,1.2794063488642375,False,0.7375,False,0.6458333333333334,True,1,0
8,8,2,4.6164751052856445,0.362261767188708,True,3.601011276245117,False,0.49583333333333335,False,0.4375,False,1,0
9,8,2,4.6344075202941895,0.26428107817967733,True,0.9401869376500448,True,0.7291666666666666,False,0.6666666666666666,True,1,0
10,8,2,4.270042896270752,0.2062924494345983,True,2.6841018199920654,False,0.575,False,0.4791666666666667,False,1,0
11,8,2,4.626496315002441,0.2753830462694168,False,1.4932761987050374,False,0.7208333333333333,False,0.6041666666666666,False,1,0
12,8,2,4.894221782684326,0.23912656803925833,False,0.7323638796806335,True,0.9,True,0.8125,True,1,0
13,8,2,4.636561393737793,0.16703149477640789,True,0.9581380287806193,False,0.9375,True,0.8125,False,1,0
14,8,2,4.580477476119995,0.16597400108973184,True,0.996480663617452,False,0.8041666666666667,False,0.7291666666666666,False,1,0
15,8,2,4.610137224197388,0.12313008109728495,True,0.7668245236078898,False,0.9666666666666667,True,0.7708333333333334,False,1,0
16,8,2,4.57245135307312,0.10226255518694718,True,2.573026259740194,False,0.6,False,0.5416666666666666,False,1,0
17,8,2,4.550066709518433,0.0985833319524924,True,1.191020409266154,False,0.8083333333333333,False,0.6458333333333334,False,1,0
18,8,2,4.558670997619629,0.10776962948342164,False,1.5482866764068604,False,0.8583333333333333,False,0.625,False,1,0
19,8,2,4.612992763519287,0.07222872326771418,True,3.0388283729553223,False,0.6791666666666667,False,0.5,False,1,0
20,8,2,4.55319619178772,0.07310480748613675,False,3.8339664141337075,False,0.5666666666666667,False,0.5,False,1,0
21,8,2,4.552104949951172,0.0785538839797179,False,0.967851440111796,False,0.8041666666666667,False,0.75,False,1,0
22,8,2,4.600235939025879,0.04936697135368983,True,2.736042340596517,False,0.6291666666666667,False,0.5416666666666666,False,1,0
23,8,2,4.556885719299316,0.07683712939421336,False,3.1438423792521157,False,0.7416666666666667,False,0.5833333333333334,False,1,0
