epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best,train_accuracy,train_accuracy_best,valid_accuracy,valid_accuracy_best,event_cp
1,9,9,7.061293363571167,1.1710862980948553,True,3.655493047502306,True,0.2569444444444444,True,0.2708333333333333,True,True
2,9,9,6.357404708862305,0.8973426752620273,True,4.915129317177667,False,0.2638888888888889,True,0.2638888888888889,False,False
3,9,9,6.494753122329712,0.6940041581789652,True,0.949735164642334,True,0.7048611111111112,True,0.5173611111111112,True,True
4,9,9,6.213923931121826,0.6338484750853645,True,3.8575540913475885,False,0.3611111111111111,False,0.3402777777777778,False,False
5,9,9,6.174128532409668,0.5781427555614047,True,4.753423690795898,False,0.5,False,0.4583333333333333,False,False
6,9,9,6.243377923965454,0.4142034616735246,True,3.1453763246536255,False,0.4340277777777778,False,0.4375,False,False
7,9,9,6.17135763168335,0.41756664050949943,False,2.138782183329264,False,0.5381944444444444,False,0.4930555555555556,False,False
8,9,9,6.287721633911133,0.3653497298558553,True,0.9890214171674516,False,0.9131944444444444,True,0.6388888888888888,True,True
9,9,9,6.007575273513794,0.3021678427855174,True,6.3110641903347435,False,0.5,False,0.375,False,False
10,9,9,6.09870719909668,0.2552236186133491,True,2.963980939653185,False,0.4201388888888889,False,0.3888888888888889,False,False
11,9,9,5.89507269859314,0.17245447470082176,True,1.566050370534261,False,0.7638888888888888,False,0.5173611111111112,False,False
12,9,9,5.949177026748657,0.16285262670781878,True,6.045129140218099,False,0.2743055555555556,False,0.2673611111111111,False,False
13,9,9,5.8809778690338135,0.2164445776078436,False,2.9241392744912043,False,0.5625,False,0.4791666666666667,False,False
14,9,9,5.950760841369629,0.2018860255678495,False,3.7126551734076605,False,0.4444444444444444,False,0.4375,False,False
15,9,9,5.857190370559692,0.15915668341848585,True,2.5282295280032687,False,0.6736111111111112,False,0.4583333333333333,False,False
16,9,9,5.950103521347046,0.1101191710266802,True,3.5635090933905706,False,0.5486111111111112,False,0.4131944444444444,False,False
17,9,9,5.8320207595825195,0.11032001011901432,False,3.062434819009569,False,0.6180555555555556,False,0.4652777777777778,False,False
18,9,9,5.918710947036743,0.07831370664967431,True,1.7738392684194777,False,0.8125,False,0.5555555555555556,False,False
