epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best,train_accuracy,train_accuracy_best,valid_accuracy,valid_accuracy_best,event_cp
1,9,9,6.833226680755615,1.2327391041649713,True,3.6882554954952664,True,0.25,True,0.25,True,True
2,9,9,6.66214394569397,0.9910657670762804,True,5.727268695831299,False,0.2916666666666667,True,0.3333333333333333,True,True
3,9,9,6.698046684265137,0.8816115657488505,True,3.637830204433865,True,0.2847222222222222,False,0.3298611111111111,False,False
4,9,9,6.764175653457642,0.8632844222916497,True,3.0468284553951688,True,0.3159722222222222,True,0.3819444444444444,True,True
5,9,9,6.672257661819458,0.8276514212290446,True,3.7192951573265924,False,0.3055555555555556,False,0.3506944444444444,False,False
6,9,9,6.664249420166016,0.6853085491392348,True,4.793192121717665,False,0.4340277777777778,True,0.3819444444444444,False,False
7,9,9,6.613807916641235,0.6816269357999166,True,4.456027428309123,False,0.2708333333333333,False,0.2777777777777778,False,False
8,9,9,6.654191970825195,0.6465515030754937,True,2.931360602378845,True,0.4131944444444444,False,0.4340277777777778,True,True
9,9,9,6.654773950576782,0.6194424331188202,True,3.874761607911852,False,0.4722222222222222,True,0.4409722222222222,True,True
10,9,9,6.546008825302124,0.5837132367822859,True,4.584207905663384,False,0.2916666666666667,False,0.3055555555555556,False,False
11,9,9,6.712486267089844,0.5152062806818221,True,4.415915356742011,False,0.3333333333333333,False,0.3263888888888889,False,False
12,9,9,6.659279823303223,0.4814549684524536,True,4.813004811604817,False,0.3854166666666667,False,0.3402777777777778,False,False
13,9,9,6.6529741287231445,0.5379943086041344,False,4.492949114905463,False,0.4791666666666667,True,0.4131944444444444,False,False
14,9,9,6.577401161193848,0.5880065792136722,False,2.5669089953104653,True,0.4409722222222222,False,0.4548611111111111,True,True
15,9,9,6.774037837982178,0.5290370285511017,False,6.624002350701226,False,0.2638888888888889,False,0.2638888888888889,False,False
16,9,9,6.606806516647339,0.41043562690416974,True,2.69126378165351,False,0.4166666666666667,False,0.4305555555555556,False,False
17,9,9,6.60998272895813,0.47791967458195156,False,3.7404375871022544,False,0.3541666666666667,False,0.3402777777777778,False,False
18,9,9,6.732046604156494,0.34220874475108254,True,5.028379334343804,False,0.4375,False,0.3576388888888889,False,False
19,9,9,6.61346697807312,0.3523311979240841,False,3.900527662701077,False,0.5,True,0.4166666666666667,False,False
20,9,9,6.6542253494262695,0.2944374928871791,True,3.919280529022217,False,0.4895833333333333,False,0.4340277777777778,False,False
