fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,19,0.925,0.4791666666666667,0.09470844840010008,2.2078601519266763
2,1,9,0.9083333333333333,0.5625,0.4835700710614522,1.2164734999338787
3,2,32,1.0,0.6666666666666666,0.0337775486210982,1.437016526858012
4,3,25,0.9625,0.5208333333333334,0.053947729120651884,2.6643060048421225
5,4,30,0.9916666666666667,0.4791666666666667,0.04122871582706769,2.6821343501408896
6,5,35,1.0,0.5416666666666666,0.04763584956526756,1.9313698609670003
