fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,22,0.9708333333333333,0.6875,0.04336319714784622,0.837432344754537
2,1,22,0.9541666666666667,0.7916666666666666,0.0559064249197642,0.8268813689549764
3,2,20,1.0,0.8125,0.06189595212539037,0.49505865573883057
4,3,15,0.95,0.7708333333333334,0.09001537387569745,1.0604867537816365
5,4,32,1.0,0.8125,0.03318014269073804,0.9183763861656189
6,5,30,0.9958333333333333,0.7083333333333334,0.01642961340645949,1.4056453704833984
