fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,12,0.9,0.8125,0.23912656803925833,0.7323638796806335
2,1,14,0.8416666666666667,0.6666666666666666,0.1294639100631078,1.7220638593037922
3,2,25,0.9875,0.7291666666666666,0.0458290584385395,1.2409745454788208
4,3,21,0.9875,0.75,0.04934449518720309,0.6871671279271444
5,4,28,0.9958333333333333,0.7916666666666666,0.02202816531062126,0.8102174997329712
6,5,22,0.8833333333333333,0.6666666666666666,0.08329539597034455,1.9724444548288982
