subject,best_epoch,internal_valid_accuracy,test_accuracy,balanced_accuracy,macro_f1
1,17,0.5842013888888888,0.6475694444444444,0.6475694444444444,0.6004771507852237
2,17,0.6419270833333334,0.296875,0.296875,0.256954638600047
3,17,0.5833333333333334,0.6631944444444444,0.6631944444444444,0.6653185244024423
4,20,0.6197916666666666,0.3715277777777778,0.3715277777777778,0.3254340650671855
5,20,0.6319444444444444,0.2569444444444444,0.2569444444444445,0.11986635960780209
6,18,0.6124131944444444,0.3090277777777778,0.3090277777777778,0.27026695866583234
7,16,0.6115451388888888,0.4184027777777778,0.4184027777777778,0.4223987013722113
8,20,0.5941840277777778,0.5833333333333334,0.5833333333333334,0.5585360613383692
9,15,0.5941840277777778,0.65625,0.65625,0.6475161914954501
