subject,n_runs,max_cv_epochs,selected_epoch,cv_mean_valid_accuracy,cv_std_valid_accuracy,final_train_accuracy,n_test_samples,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,predicted_feet,predicted_left_hand,predicted_right_hand,predicted_tongue
3,6,35,32,0.7118055555555555,0.0637604385063223,0.9409722222222222,288,0.6354166666666666,0.6354166666666667,0.6311264960607242,0.6311264960607242,38,56,151,43
4,6,35,30,0.46875,0.0628462630374931,0.7951388888888888,288,0.3611111111111111,0.3611111111111111,0.308174094693082,0.308174094693082,2,93,165,28
5,6,35,23,0.3472222222222222,0.0627310543924234,0.6597222222222222,288,0.28125,0.2812499999999999,0.197023111859937,0.1970231118599369,82,200,5,1
6,6,35,27,0.3923611111111111,0.1203414317065622,0.7569444444444444,288,0.3298611111111111,0.3298611111111111,0.2723936384094211,0.2723936384094211,30,227,23,8
7,6,35,32,0.545138888888889,0.1015647257590868,0.7847222222222222,288,0.5208333333333334,0.5208333333333333,0.4716086941433481,0.471608694143348,94,77,111,6
8,6,35,32,0.65625,0.1035397803315765,0.8645833333333334,288,0.46875,0.46875,0.4523735355553537,0.4523735355553537,192,19,49,28
9,6,35,35,0.6493055555555556,0.0637604385063223,0.8506944444444444,288,0.6388888888888888,0.638888888888889,0.593016979804037,0.593016979804037,124,95,12,57
