fold,validation_run,best_epoch,best_train_accuracy,best_valid_accuracy,best_train_loss,best_valid_loss
1,0,25,0.975,0.6458333333333334,0.03645979252954324,1.3667455712954204
2,1,27,0.8041666666666667,0.6666666666666666,0.02233939493695895,2.3895850578943887
3,2,9,0.975,0.7708333333333334,0.2710271636644999,0.9115012884140015
4,3,12,0.9583333333333334,0.6666666666666666,0.1449033866326014,1.3519520163536072
5,4,12,0.9875,0.6875,0.17106030384699503,0.6744310855865479
6,5,7,0.7666666666666667,0.4375,0.34160824020703634,2.3228567441304526
